央视,#genre#
凤凰香港,http://113.117.74.26:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.23:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.38:8081/hls/38/index.m3u8

凤凰香港,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a2092354
凤凰香港,http://113.117.74.18:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.17:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.21:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.13:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.26:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.35:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.19:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.12:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.38:8081/hls/38/index.m3u8
凤凰香港,http://113.117.74.28:8081/hls/38/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/PLTV/1/224/3221231041/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]/ott.mobaibox.com/PLTV/88888888/224/3221228530/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1c]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰香港,http://113.117.74.22:8081/hls/37/index.m3u8http://113.117.74.22:8081/hls/37/index.m3u8


凤凰电影台,http://live.hust.edu.cn/hls/fhdy.m3u8

星空卫视,http://113.117.74.21:8081/hls/87/index.m3u8

莲花卫视,http://107.151.203.111:2209/dl/lotustv2021.php


中天新闻,http://107.151.203.111:2209/hls/zt.m3u8


中天娱乐,http://162.19.247.76:22222/live/ztyl/index.m3u8




俄罗斯中文,#genre#

俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
